"Assignment 1","Points","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Display ID","ID","Last Name","First Name","grade","Source Points","Early/Late","Weighted Grade","Server tagged","Client tagged","Static arguments work properly","One client correct connection","One client correct read, write, and behaviors - Atomic","One client correct read, write, and behaviors - Non-atomic","One client correct threads - Atomic","One client correct threads - Non-atomic","One client correct message ratios - Atomic","One client correct message ratios - Non-atomic","Two client correct connection","Two client correct read, write, and behaviors - Atomic","Two client correct read, write, and behaviors - Non-atomic","Two client correct threads - Atomic","Two client correct threads - Non-atomic","Two client correct message ratios - Atomic","Two client correct message ratios - Non-atomic","Read-Write-Update ordering - Atomic","Read-Write-Update ordering - Non-atomic","Server tagged","Client tagged","Static arguments work properly","One client correct connection","One client correct read, write, and behaviors - Atomic","One client correct read, write, and behaviors - Non-atomic","One client correct threads - Atomic","One client correct threads - Non-atomic","One client correct message ratios - Atomic","One client correct message ratios - Non-atomic","Two client correct connection","Two client correct read, write, and behaviors - Atomic","Two client correct read, write, and behaviors - Non-atomic","Two client correct threads - Atomic","Two client correct threads - Non-atomic","Two client correct message ratios - Atomic","Two client correct message ratios - Non-atomic","Read-Write-Update ordering - Atomic","Read-Write-Update ordering - Non-atomic","","",""
"tstudent","tstudent","Student","Test","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"tstudent2","tstudent2","Student2","Test","234.2","","1.0","234.2","5.0","5.0","16.7","20.0","35.0","35.0","2.5","5.0","0.0","5.0","20.0","35.0","35.0","5.0","5.0","1.7","3.3","0.0","0.0","Server tagged                                          %.1f /  5.0","Client tagged                                          %.1f /  5.0","Static arguments work properly                         %.1f / 20.0","One client correct connection                          %.1f / 20.0","One client correct read, write, and behaviors - Atomic %.1f / 35.0","One client correct read, write, and behaviors - Non-atomic %.1f / 35.0","One client correct threads - Atomic                    %.1f /  5.0","One client correct threads - Non-atomic                %.1f /  5.0","One client correct message ratios - Atomic             %.1f / 10.0","One client correct message ratios - Non-atomic         %.1f / 10.0","Two client correct connection                          %.1f / 20.0","Two client correct read, write, and behaviors - Atomic %.1f / 35.0","Two client correct read, write, and behaviors - Non-atomic %.1f / 35.0","Two client correct threads - Atomic                    %.1f /  5.0","Two client correct threads - Non-atomic                %.1f /  5.0","Two client correct message ratios - Atomic             %.1f / 10.0","Two client correct message ratios - Non-atomic         %.1f / 10.0","Read-Write-Update ordering - Atomic                    %.1f / 10.0","Read-Write-Update ordering - Non-atomic                %.1f / 10.0","","",""
